time_period,Adjustment for pollution abatement (Total - all activities),CO2 emissions from air transport per capita (Total - all activities),CO2 emissions from air transport per unit of GDP (Total - all activities),Coal support (Total - all activities),Consumption of biomass (Total - all activities),Consumption of metals (Total - all activities),Consumption of non-metallic minerals (Total - all activities),Contribution of natural capital (Total - all activities),Conversion of non-water topermanent water surface (Total - all activities),Conversion of permanent water to not-water surface (Total - all activities),Conversion of permanent water to seasonal water surface (Total - all activities),Conversion of seasonal water to permanent water surface (Total - all activities),Demand-based CO2 emissions (Total - all activities),Demand-based CO2 intensity energy-related CO2 per capita (Total - all activities),Demand-based CO2 productivity relative to disposable income (Total - all activities),"Demand-based CO2 productivity, GDP per unit of energy-related CO2 emissions (Total - all activities)",Demand-based GHG emissions (Total - all activities),Demand-based GHG intensity energy-related GHG per capita (Total - all activities),Demand-based GHG productivity relative to disposable income (Total - all activities),"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions (Total - all activities)",Development of environment-related technologies (Total - all activities),Diesel end-user price (Total - all activities),Electricity support (Total - all activities),Emissions priced above EUR 120 per tonne of CO2 (Total - all activities),Emissions priced above EUR 30 per tonne of CO2 (Total - all activities),Emissions priced above EUR 60 per tonne of CO2 (Total - all activities),"Energy consumption (Agriculture, forestry and fishing)",Energy consumption (Industry (except construction)),Energy consumption (Other),Energy consumption (Services),Energy consumption (Transportation and storage),Energy intensity per capita (Total - all activities),"Energy productivity, GDP per unit of TES (Total - all activities)",Energy related taxes revenue (Total - all activities),Environment related taxes revenue (Total - all activities),Environmentally adjusted multifactor productivity growth (Total - all activities),Feed-in tariffs for solar photovoltaic (Total - all activities),Feed-in tariffs for wind electricity generation (Total - all activities),Female population (Total - all activities),Forest resource stocks (Total - all activities),Forests with long-term management plans (Total - all activities),Fossil fuel consumer support (Total - all activities),Fossil fuel general services support (Total - all activities),Fossil fuel producer support (Total - all activities),GDP deflator (Total - all activities),Gas support (Total - all activities),Industry electricity price (Total - all activities),Intact forest landscape (Total - all activities),Intact forest landscape loss (Total - all activities),Irrigated land (Total - all activities),Labour tax revenue (Total - all activities),Life expectancy at birth (Total - all activities),Marine protected area (Total - all activities),Mortality from exposure to ambient PM2.5 (Total - all activities),Mortality from exposure to ambient ozone (Total - all activities),Mortality from exposure to lead (Total - all activities),Mortality from exposure to residential radon (Total - all activities),Municipal waste disposed to landfills (Total - all activities),Municipal waste incineration (Total - all activities),Municipal waste recycled or composted (Total - all activities),Naturally regenerating forests (Total - all activities),Net migration (Total - all activities),Nitrogen balance (Total - all activities),Nominal exchange rate (Total - all activities),"Non-energy material productivity, GDP per unit of DMC (Total - all activities)",Permanent surface water (Total - all activities),Petrol end-user price (Total - all activities),Petroleum support (Total - all activities),Phosphorus balance (Total - all activities),Population connected to public sewerage (Total - all activities),Population density (Total - all activities),Population exposed to more than 10 micrograms/m3 (Total - all activities),Population exposed to more than 35 micrograms/m3 (Total - all activities),Population exposure to PM2.5 (Total - all activities),Population with access to improved to sanitation (Total - all activities),"Population, ages 0-14 (Total - all activities)","Population, ages 15-64 (Total - all activities)","Population, ages 65 and above (Total - all activities)",Production-based CO2 emissions (Total - all activities),"Production-based CO2 intensity, energy-related CO2 per capita (Total - all activities)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions (Total - all activities)",Production-based GHG emissions (Total - all activities),"Production-based GHG intensity, energy-related GHG per capita (Total - all activities)","Production-based GHG productivity, GDP per unit of energy-related GHG emissions (Total - all activities)",Purchasing power parity (Total - all activities),Real GDP (Total - all activities),Real GDP per capita (Total - all activities),Relative technological advantage in environment-related technologies (Total - all activities),Renewable electricity generation (Total - all activities),Renewable energy supply (Total - all activities),Renewable energy supply (excluding solid biofuels) (Total - all activities),Residential electricity price (Total - all activities),Road transport related tax revenue (Total - all activities),Sales of pesticides per unit of agricultural land (Total - all activities),Seasonal surface water (Total - all activities),Terrestrial protected area (Total - all activities),Total energy supply (Total - all activities),Total fertility rate (Total - all activities),Total fossil fuel support (Total - all activities),Total freshwater abstraction per capita (Total - all activities),Total renewable freshwater per capita (Total - all activities),"Value added (Agriculture, forestry and fishing)",Value added (Industry (except construction)),Value added (Services),"Water stress, total freshwater abstraction (Total - all activities)",Welfare costs of premature mortalities from exposure to ambient PM2.5 (Total - all activities),Welfare costs of premature mortalities from exposure to ambient ozone (Total - all activities),Welfare costs of premature mortalities from exposure to lead (Total - all activities),Welfare costs of premature mortalities from exposure to residential radon (Total - all activities)
2000,-0.04,,,,27.17,6.19,66.64,0.05,,,,,1422.985,2.13,1.61,1.62,2084.47,3.22,1.09,1.12,1.526666667,,,,,,2.39,38.61,45.27,3.02,10.71,0.88,3932.86,57.67,1.865,2.47,0,0,48.87,12347.82,55,,,,58.13,,,45335.59,,10.28,,71.88,0.01,629.56,103.78,153.76,11.06,,,,69.02,-549.79,41.39,8.28,0.41,,,,9.8,34.25,134.43,99.91,83.11,50.82,13,22.95,70.58,6.47,1598.68,2.45,1.47,2299.37,3.56,1.01,2.72,2228439.5,3453.39,0.54,16.64,19.41,2.02,,5.64,0.48,,0.22,616.61,1.63,,426.92,,14.9,45.66,39.43,19.25,7.91,1.3,1.93,0.14
2001,-0.41,,,,26.17,6.22,67.61,0.04,,,,,1515.455,2.25,1.64,1.65,2185.435,3.35,1.12,1.16,2.943333333,,,,,,2.51,39.89,43.72,3.15,10.74,0.9,4124.01,40.22,2.75,1.84,0,0,48.86,,,,,,59.32,,,,,10.35,,72.61,0.01,652.25,104.25,157.68,11.55,88.99,2.17,8.84,,-485.42,40.95,8.28,0.43,,,,9.92,36.43,135.33,,,,13,22.2,71.15,6.65,1679.25,2.56,1.52,2403.655,3.69,1.05,2.72,2414197.17,3716.55,1.03,18.96,18.54,2.43,,38.03,0.48,,0.22,637.04,1.56,,426.87,,14.23,44.92,40.85,19.38,8.13,1.3,1.97,0.14
2002,-0.99,,,,25.25,6.46,68.3,0.08,,,,,1622.605,2.4,1.68,1.68,2324.835,3.54,1.16,1.19,2.566666667,,,,,,2.59,40.25,42.9,3.12,11.14,0.95,4232.94,35.6,2.795,1.93,0,0,48.85,,,,,,59.68,,,,,10.35,,72.99,0.24,678.53,102.91,162.41,12.11,89.3,3.72,6.98,,-477.89,46.68,8.28,0.44,,,,10.7,39.97,136.18,,,,14,21.33,71.85,6.82,1811.115,2.74,1.54,2565.11,3.92,1.07,2.69,2634701.115,4030.5,0.85,17.62,17.35,2.42,,44.17,0.49,,0.37,677.34,1.57,,418.92,,13.59,44.58,41.84,19.14,8.39,1.27,2.01,0.15
2003,-1.51,,,,22.77,6.82,70.41,0.19,,,,,1804.775,2.65,1.67,1.66,2516.195,3.81,1.19,1.21,2.513333333,,,,,,2.69,41.98,40.63,3.21,11.49,1.08,4084.95,33.43,3.14,1.54,0,0,48.85,,,,,,61.23,,,,,10.28,,73.37,0.24,702.94,106.62,166.35,12.63,84.88,4.9,9.5,,-527.84,45.46,8.28,0.45,,,,10.67,42.39,137.01,,,,16,20.46,72.56,6.98,2098.38,3.15,1.46,2863.325,4.35,1.06,2.71,2899173.55,4408.27,0.77,15.04,14.77,2.16,,45.92,0.5,,0.59,772.335,1.57,,403.26,,12.65,45.75,41.6,18.53,8.62,1.31,2.04,0.15
2004,-1.51,,,,22.03,7.47,70.49,0.39,,,,,2005.745,2.93,1.66,1.65,2723.09,4.1,1.21,1.23,2.993333333,,,,,,2.63,45.97,36.32,3.39,11.69,1.22,3950.74,27.19,4.2,0.81,0,0,48.84,,,,,,65.49,,,,,10.36,,73.75,0.27,732.67,112.71,171.12,13.26,85.16,5.55,9.03,,-458.51,47.42,8.28,0.46,,,,11.16,45.67,137.82,,,,19,19.64,73.24,7.12,2446.305,3.65,1.38,3228.795,4.87,1.03,2.82,3192386.13,4825.56,0.86,16.22,12.89,2.33,,34.24,0.52,,0.62,879.335,1.61,,418.01,,13.23,46.03,40.74,19.32,8.9,1.37,2.08,0.16
2005,-1.33,,,,21.11,8.22,70.67,0.48,,,,,2193.835,3.18,1.69,1.68,2888.105,4.32,1.27,1.29,3.21,,,,,,2.56,50.56,32.74,3.13,11.01,1.34,3992.58,26.45,3.9,2.04,0,0,48.84,,,,,,68.04,,,,,10.45,4.23,74.11,0.27,745.93,111.69,172.18,13.68,85.17,9.82,4.29,,-519.75,48.37,8.19,0.48,,,,11.27,,138.62,99.91,83.45,51.65,21,18.78,73.96,7.26,2790.99,4.14,1.35,3562.245,5.34,1.04,2.84,3556144.79,5344.35,0.83,16.18,11.67,2.45,,33.24,0.54,,0.62,969.265,1.62,,421.63,,11.97,47.17,40.86,19.61,8.97,1.34,2.07,0.16
2006,-1.03,,,,19.63,9.01,71.36,0.86,,,,,2384.235,3.44,1.76,1.74,3063.155,4.55,1.35,1.37,3.373333333,,,,,,2.51,51.28,31.8,3.18,11.23,1.46,4113.96,26.32,3.305,3.18,0,0,48.83,,,,,,70.72,,,,,10.57,3.745,74.5,0.27,741.34,114.8,168.59,13.82,81.4,14.45,3.66,,-473.11,53.25,7.97,0.49,,,,11.26,,139.42,,,,24,18.1,74.5,7.4,3077.14,4.54,1.38,3808.62,5.67,1.1,2.86,4008521.94,5989.85,0.79,15.59,10.79,2.48,,33.98,0.57,,0.73,1060.33,1.64,,431.27,,10.95,47.71,41.34,20.17,8.82,1.37,2.01,0.16
2007,-1.06,,,,18.48,9.79,71.73,0.58,,,,,2623.67,3.76,1.83,1.81,3339.26,4.93,1.42,1.44,3.55,,,,,,2.32,52.55,30.44,3.28,11.41,1.56,4365.98,25.97,3.415,4.89,0,0,48.83,,,,,,76.2,,,,,10.71,4.085,74.76,0.27,756.49,114.49,168.56,14.23,80.88,15.21,2.65,,-438.85,49.89,7.61,0.53,,,,10.76,,140.21,,,,26,17.68,74.78,7.54,3341.125,4.9,1.45,4137.1,6.13,1.16,3.01,4578967.74,6803.69,0.75,15.26,9.74,2.64,,36.39,0.6,,0.74,1141.305,1.67,,430.39,,10.55,47.04,42.42,20.24,8.88,1.34,1.98,0.17
2008,-0.79,,,,18.74,10.79,70.47,0.53,,,,,2758.905,3.93,1.92,1.89,3571.605,5.24,1.46,1.47,4.333333333,,,,,,2.17,53.55,29.1,3.17,12,1.59,4661.9,22.43,3.665,0.98,0,0,48.82,,,,,,82.14,,,,,11.06,4.015,74.87,0.27,789.26,118.55,172.47,14.72,81.73,15.23,1.69,,-469.09,45.94,6.95,0.55,,,,9.76,,141,,,,29,17.38,74.95,7.67,3442.14,5.01,1.54,4315.315,6.35,1.22,3.18,5020867.655,7418.54,0.82,17.74,9.49,3.14,,33.83,0.61,,0.77,1172.01,1.7,,434.5,,10.47,47.15,42.38,20.55,9.19,1.38,2.01,0.17
2009,-0.71,,,,16.68,11.35,71.97,0.33,,,,,3174.415,4.5,1.8,1.79,4056.645,5.91,1.39,1.42,4.556666667,1.69,,,,,2.15,54.14,28.7,3.26,11.75,1.69,4782.74,45.34,5.345,0.82,0,0.08,48.82,,,,,,81.96,,,,,11.2,3.885,75.34,0.27,828.49,109.83,177.81,15.28,79.22,18,1.59,,-350.36,51.98,6.83,0.54,,1.8,,11.85,,141.79,,,,32,17.16,75.05,7.79,3680.58,5.33,1.58,4594.1,6.71,1.25,3.15,5492768.24,8070.48,0.73,17.86,8.91,3.27,,25.22,0.63,,0.77,1249.775,1.71,,435.95,,9.94,46.13,43.92,20.73,9.57,1.27,2.05,0.18
